:1:LSH Approx Nearest Neighbour Summary
:2:Hashname,SequenceLength,TokenLength,Distance Metric,Mutation Model,Mutation Expression
:3:SubseqHash-64,45,0,5,1,0
:4.1: subseqlen(k),d
:4.2: Subsequence length (k),Parameter 'd' from the paper
:4.3: 16,1
:5:b,r,Avg_Recall,Avg_Precision,Avg_FPR,Avg_F1_Score
:6:1,1,0.544,0.073917,0.0135382,0.128764
:6:1,2,0.712,0.0272869,0.0222422,0.0520298
:6:1,3,0.728,0.0099699,0.0332245,0.0196533
:6:1,4,0.828,0.00805538,0.0453461,0.0159108
:6:1,5,0.844,0.00405695,0.0599072,0.00807257
:6:2,1,0.432,0.320094,0.000589259,0.36759
:6:2,2,0.552,0.335239,0.000507651,0.415966
:6:2,3,0.516,0.271859,0.000746075,0.354834
:6:2,4,0.54,0.217938,0.000969697,0.309511
:6:2,5,0.624,0.22041,0.00125653,0.324343
:6:3,1,0.368,0.359667,5.60056e-06,0.363752
:6:3,2,0.408,0.383035,3.68037e-05,0.394993
:6:3,3,0.48,0.438441,1.9602e-05,0.458163
:6:3,4,0.484,0.4405,2.52025e-05,0.461109
:6:3,5,0.516,0.429285,5.72057e-05,0.468579
:1:LSH Approx Nearest Neighbour Summary
:2:Hashname,SequenceLength,TokenLength,Distance Metric,Mutation Model,Mutation Expression
:3:SubseqHash-64,45,0,5,1,0
:4.1: subseqlen(k),d
:4.2: Subsequence length (k),Parameter 'd' from the paper
:4.3: 16,21
:5:b,r,Avg_Recall,Avg_Precision,Avg_FPR,Avg_F1_Score
:6:1,1,0.516,0.0202164,0.0223442,0.0365908
:6:1,2,0.644,0.0158869,0.0460594,0.0305791
:6:1,3,0.744,0.00313281,0.0649073,0.00622889
:6:1,4,0.836,0.00184533,0.0831707,0.00368165
:6:1,5,0.884,0.00135074,0.101482,0.0026973
:6:2,1,0.332,0.159942,0.000712471,0.214681
:6:2,2,0.472,0.124885,0.00176618,0.193955
:6:2,3,0.504,0.0709943,0.00278508,0.123604
:6:2,4,0.58,0.0714338,0.00312871,0.126609
:6:2,5,0.632,0.0615617,0.00385119,0.111878
:6:3,1,0.232,0.219333,3.80038e-05,0.225407
:6:3,2,0.316,0.263788,6.9607e-05,0.287265
:6:3,3,0.396,0.297061,0.000137614,0.338702
:6:3,4,0.428,0.302409,0.000167217,0.353992
:6:3,5,0.48,0.315972,0.000219222,0.379431
